"metier_pk","metier","classement_1","classement_2","classement_3","définition","classement_4"
109,fumiste,secteur secondaire,atelier artisanal ,artisanat,"artisan spécialisé dans l’installation, l’entretien et le nettoyage des cheminées, conduits de fumée, poêles, et systèmes de ventilation",
110,daguerrotip (photographe),secteur tertiaire,,service artistique,,
111,aiguilleur,secteur tertiaire,gare,service publique,personne chargée de diriger et contrôler le passage des trains sur les voies ferrées,chemin de fer
112,treittageur,"",,,,
113,entrepreneur de travaux,secteur secondaire,entreprise de construction,construction,,
114,app. faiseur d'aiguille,secteur secondaire,gare,service publique,,chemin de fer
115,app. graveur,secteur secondaire,atelier artisanal ,artisanat,,
116,modiste,secteur tertiaire,magasin,commerce,,textile
117,contromaitre,secteur secondaire,usine,industrie,"responsable d’équipe sur un chantier, en usine ou dans une entreprise, chargé de superviser le travail des ouvriers",
118,greneuse,secteur primaire,,agriculture,,
119,app. oliseur de boite?,secteur secondaire,usine,industrie,,
120,metre gypseur,secteur secondaire,entreprise de construction,construction,,
121,app. cuisinier,secteur secondaire,,service,,
122,appareilleur,secteur secondaire,usine,industrie,"ouvrier chargé de préparer, régler et entretenir les machines, appareils ou équipements industriels afin d’assurer leur bon fonctionnement",
123,app. repasseur,secteur secondaire,"",service domestique,,textile
124,doreur de boites,secteur secondaire,atelier artisanal ,artisanat,,
125,cordonnier ambulant,secteur secondaire,"",commerce,,
126,secretaire de la voie du Jura,secteur tertiaire,gare,service publique ,,chemin de fer
127,commissionaire,secteur tertiaire,magasin,commerce,,
128,cabaretier,secteur tertiaire,magasin,commerce,,
